Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Ginger Variant-8550,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–8g/day,Dizziness,May interact with blood thinners,Africa
Hibiscus Variant-8551,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–7g/day,Mild heartburn,May interact with blood thinners,South America
Hibiscus Variant-8552,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–7g/day,Liver stress (overdose),Enhances anticoagulants,South America
Clove Variant-8553,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–6g/day,Dizziness,None known,South America
Aloe Vera Variant-8554,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–10g/day,Mild heartburn,Avoid with diabetes drugs,Asia
Turmeric Variant-8555,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–9g/day,Dizziness,Enhances anticoagulants,Africa
Ginger Variant-8556,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–9g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Hibiscus Variant-8557,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Mild heartburn,None known,Middle East
Garlic Variant-8558,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–7g/day,Mild heartburn,May interact with blood thinners,Asia
Turmeric Variant-8559,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,None known,May interact with blood thinners,Asia
Scent Leaf Variant-8560,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–7g/day,Mild heartburn,Enhances anticoagulants,Asia
Moringa Variant-8561,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–10g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Moringa Variant-8562,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–10g/day,Mild heartburn,May interact with blood thinners,Africa
Clove Variant-8563,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–8g/day,Dizziness,Enhances anticoagulants,Europe
Turmeric Variant-8564,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Dizziness,Avoid with diabetes drugs,Asia
Clove Variant-8565,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–9g/day,None known,May interact with blood thinners,India
Aloe Vera Variant-8566,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–7g/day,Dizziness,Avoid with laxatives,India
Hibiscus Variant-8567,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–10g/day,Stomach upset,Avoid with diabetes drugs,India
Scent Leaf Variant-8568,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–10g/day,None known,None known,Middle East
Clove Variant-8569,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–8g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
Scent Leaf Variant-8570,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,Liver stress (overdose),Avoid with diabetes drugs,Europe
Ginger Variant-8571,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,Mild heartburn,None known,Asia
Bitter Leaf Variant-8572,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–7g/day,Mild heartburn,May interact with blood thinners,Africa
Scent Leaf Variant-8573,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–6g/day,Stomach upset,None known,Asia
Turmeric Variant-8574,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,Stomach upset,Avoid with laxatives,India
Moringa Variant-8575,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–10g/day,Stomach upset,Enhances anticoagulants,Europe
Bitter Leaf Variant-8576,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,Dizziness,May interact with blood thinners,Middle East
Turmeric Variant-8577,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–6g/day,Dizziness,Avoid with diabetes drugs,Africa
Hibiscus Variant-8578,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–10g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Ginger Variant-8579,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–7g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Ginger Variant-8580,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,None known,None known,South America
Bitter Leaf Variant-8581,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–7g/day,None known,May interact with blood thinners,Africa
Turmeric Variant-8582,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–7g/day,Dizziness,None known,Europe
Aloe Vera Variant-8583,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–9g/day,Liver stress (overdose),Avoid with diabetes drugs,Middle East
Ginger Variant-8584,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–10g/day,Mild heartburn,Enhances anticoagulants,India
Moringa Variant-8585,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–8g/day,Dizziness,Enhances anticoagulants,South America
Turmeric Variant-8586,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–10g/day,Liver stress (overdose),Avoid with diabetes drugs,India
Moringa Variant-8587,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–7g/day,None known,Enhances anticoagulants,Asia
Ginger Variant-8588,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–7g/day,Mild heartburn,Avoid with diabetes drugs,Middle East
Ginger Variant-8589,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,None known,Enhances anticoagulants,Europe
Moringa Variant-8590,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–8g/day,None known,Avoid with laxatives,Middle East
Neem Variant-8591,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–10g/day,Dizziness,Avoid with laxatives,India
Scent Leaf Variant-8592,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–10g/day,Dizziness,May interact with blood thinners,Africa
Scent Leaf Variant-8593,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–7g/day,Dizziness,Avoid with laxatives,Middle East
Garlic Variant-8594,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–8g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Hibiscus Variant-8595,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–8g/day,None known,None known,Middle East
Clove Variant-8596,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–8g/day,Stomach upset,Enhances anticoagulants,Asia
Neem Variant-8597,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–6g/day,Mild heartburn,None known,South America
Neem Variant-8598,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–6g/day,Mild heartburn,Enhances anticoagulants,South America
Ginger Variant-8599,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,Mild heartburn,Avoid with laxatives,South America
Clove Variant-8600,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,Mild heartburn,Avoid with laxatives,Asia
Neem Variant-8601,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–10g/day,Mild heartburn,Enhances anticoagulants,India
Hibiscus Variant-8602,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–7g/day,Dizziness,Avoid with diabetes drugs,Asia
Aloe Vera Variant-8603,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–8g/day,Stomach upset,Avoid with diabetes drugs,Africa
Moringa Variant-8604,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–6g/day,Mild heartburn,Enhances anticoagulants,India
Scent Leaf Variant-8605,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–7g/day,Dizziness,Avoid with laxatives,India
Scent Leaf Variant-8606,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–6g/day,Liver stress (overdose),Enhances anticoagulants,South America
Ginger Variant-8607,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–7g/day,Dizziness,Avoid with laxatives,Africa
Hibiscus Variant-8608,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,Mild heartburn,May interact with blood thinners,Europe
Bitter Leaf Variant-8609,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–8g/day,Dizziness,Avoid with laxatives,India
Hibiscus Variant-8610,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–7g/day,Dizziness,Avoid with laxatives,Europe
Moringa Variant-8611,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–8g/day,Dizziness,May interact with blood thinners,India
Clove Variant-8612,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–6g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Clove Variant-8613,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–8g/day,Mild heartburn,May interact with blood thinners,Asia
Moringa Variant-8614,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–9g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Scent Leaf Variant-8615,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–7g/day,None known,Avoid with laxatives,South America
Moringa Variant-8616,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–8g/day,Dizziness,Avoid with diabetes drugs,South America
Ginger Variant-8617,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,Stomach upset,Avoid with laxatives,Asia
Bitter Leaf Variant-8618,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",5–6g/day,Dizziness,May interact with blood thinners,India
Scent Leaf Variant-8619,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–6g/day,None known,None known,South America
Garlic Variant-8620,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–7g/day,Liver stress (overdose),None known,South America
Ginger Variant-8621,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–10g/day,None known,Avoid with diabetes drugs,Europe
Garlic Variant-8622,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,None known,Enhances anticoagulants,Middle East
Clove Variant-8623,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–6g/day,None known,None known,Asia
Scent Leaf Variant-8624,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–9g/day,Mild heartburn,None known,Africa
Turmeric Variant-8625,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,None known,Avoid with diabetes drugs,Middle East
Turmeric Variant-8626,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–9g/day,Stomach upset,None known,India
Hibiscus Variant-8627,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–6g/day,Dizziness,None known,Africa
Turmeric Variant-8628,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,None known,Enhances anticoagulants,Middle East
Aloe Vera Variant-8629,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Dizziness,Avoid with diabetes drugs,Middle East
Hibiscus Variant-8630,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–6g/day,Dizziness,Avoid with diabetes drugs,Middle East
Turmeric Variant-8631,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–8g/day,None known,Enhances anticoagulants,Europe
Bitter Leaf Variant-8632,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–6g/day,Liver stress (overdose),None known,South America
Moringa Variant-8633,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–9g/day,Dizziness,Enhances anticoagulants,Middle East
Turmeric Variant-8634,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–6g/day,Stomach upset,Avoid with diabetes drugs,Asia
Moringa Variant-8635,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,Stomach upset,Avoid with laxatives,Asia
Ginger Variant-8636,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–9g/day,Stomach upset,Enhances anticoagulants,Middle East
Hibiscus Variant-8637,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–8g/day,Mild heartburn,None known,South America
Clove Variant-8638,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,Stomach upset,None known,Asia
Garlic Variant-8639,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–10g/day,Mild heartburn,May interact with blood thinners,South America
Aloe Vera Variant-8640,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–8g/day,Mild heartburn,Enhances anticoagulants,Europe
Ginger Variant-8641,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Dizziness,Enhances anticoagulants,India
Scent Leaf Variant-8642,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–8g/day,Liver stress (overdose),Avoid with laxatives,South America
Scent Leaf Variant-8643,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–10g/day,None known,Avoid with laxatives,Europe
Clove Variant-8644,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–8g/day,Liver stress (overdose),None known,Europe
Turmeric Variant-8645,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–6g/day,Stomach upset,Avoid with diabetes drugs,Europe
Ginger Variant-8646,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–10g/day,Liver stress (overdose),Enhances anticoagulants,South America
Scent Leaf Variant-8647,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Neem Variant-8648,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–9g/day,Stomach upset,Avoid with laxatives,Middle East
Scent Leaf Variant-8649,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–7g/day,Mild heartburn,None known,India
Garlic Variant-8650,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–9g/day,Mild heartburn,Avoid with diabetes drugs,Africa
Aloe Vera Variant-8651,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–10g/day,Dizziness,None known,Middle East
Turmeric Variant-8652,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Stomach upset,Avoid with laxatives,Europe
Moringa Variant-8653,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–7g/day,None known,None known,South America
Ginger Variant-8654,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,Mild heartburn,Enhances anticoagulants,India
Garlic Variant-8655,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–9g/day,None known,May interact with blood thinners,Africa
Turmeric Variant-8656,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–6g/day,None known,Avoid with laxatives,South America
Turmeric Variant-8657,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Mild heartburn,Avoid with laxatives,India
Moringa Variant-8658,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,Dizziness,Avoid with diabetes drugs,Africa
Hibiscus Variant-8659,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–6g/day,Mild heartburn,Enhances anticoagulants,Africa
Bitter Leaf Variant-8660,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–10g/day,Dizziness,None known,Africa
Hibiscus Variant-8661,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–8g/day,Liver stress (overdose),None known,Europe
Ginger Variant-8662,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Liver stress (overdose),May interact with blood thinners,Africa
Aloe Vera Variant-8663,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–10g/day,Stomach upset,None known,Europe
Clove Variant-8664,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–7g/day,Mild heartburn,Enhances anticoagulants,Africa
Garlic Variant-8665,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–9g/day,Liver stress (overdose),May interact with blood thinners,South America
Aloe Vera Variant-8666,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Aloe Vera Variant-8667,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Stomach upset,Avoid with laxatives,Africa
Ginger Variant-8668,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–9g/day,None known,None known,Asia
Aloe Vera Variant-8669,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–9g/day,Mild heartburn,Enhances anticoagulants,India
Hibiscus Variant-8670,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–6g/day,Stomach upset,May interact with blood thinners,Europe
Aloe Vera Variant-8671,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–8g/day,Dizziness,Avoid with laxatives,India
Scent Leaf Variant-8672,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–6g/day,Dizziness,Enhances anticoagulants,India
Scent Leaf Variant-8673,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",1–8g/day,Liver stress (overdose),Avoid with diabetes drugs,Asia
Bitter Leaf Variant-8674,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–9g/day,None known,Enhances anticoagulants,Europe
Clove Variant-8675,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–6g/day,Stomach upset,Avoid with laxatives,India
Clove Variant-8676,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–6g/day,None known,Avoid with diabetes drugs,Europe
Ginger Variant-8677,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,Dizziness,Avoid with diabetes drugs,Asia
Bitter Leaf Variant-8678,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,Liver stress (overdose),Avoid with laxatives,Africa
Moringa Variant-8679,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–7g/day,Mild heartburn,Enhances anticoagulants,Europe
Clove Variant-8680,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–8g/day,Liver stress (overdose),May interact with blood thinners,Africa
Hibiscus Variant-8681,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–9g/day,Stomach upset,Enhances anticoagulants,Africa
Hibiscus Variant-8682,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–9g/day,Liver stress (overdose),None known,Middle East
Garlic Variant-8683,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–8g/day,Dizziness,May interact with blood thinners,Middle East
Turmeric Variant-8684,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–10g/day,Dizziness,Enhances anticoagulants,India
Clove Variant-8685,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–9g/day,None known,Avoid with diabetes drugs,South America
Bitter Leaf Variant-8686,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–7g/day,Stomach upset,Avoid with laxatives,Asia
Clove Variant-8687,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Stomach upset,May interact with blood thinners,Africa
Moringa Variant-8688,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Clove Variant-8689,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–10g/day,Mild heartburn,May interact with blood thinners,South America
Moringa Variant-8690,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–9g/day,Liver stress (overdose),May interact with blood thinners,Asia
Bitter Leaf Variant-8691,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",3–7g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Hibiscus Variant-8692,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–10g/day,Liver stress (overdose),Avoid with laxatives,South America
Turmeric Variant-8693,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,None known,May interact with blood thinners,South America
Moringa Variant-8694,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–6g/day,Dizziness,Avoid with laxatives,Africa
Ginger Variant-8695,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",1–7g/day,Dizziness,Avoid with laxatives,India
Aloe Vera Variant-8696,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",3–10g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Scent Leaf Variant-8697,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–8g/day,Mild heartburn,Avoid with laxatives,Europe
Ginger Variant-8698,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",4–6g/day,Stomach upset,None known,India
Turmeric Variant-8699,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–7g/day,Stomach upset,None known,South America
